image_path,neutral_prompt,stereotype_prompt,counter_prompt
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000050.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000038.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000081.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000091.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000040.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000021.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000015.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000075.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000096.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000029.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000076.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000056.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000077.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000084.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000018.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000031.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000064.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000070.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000085.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000088.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000028.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000093.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000083.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000051.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000023.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000101.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000095.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000037.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000025.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000086.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000068.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000047.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000061.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000004.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000016.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000066.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000032.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000009.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000003.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000072.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000008.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
